Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature_Difference,Mechanical_Power,Thermal_Load_Index,Torque_Speed_Interaction,Temperature_Ratio,Wear_Load_Index,Machine failure
M,298.9,308.9,1679,28.7,181,10.0,5046.162255877581,50461.62255877581,48187.299999999996,1.033456005352961,5194.7,0
H,298.8,308.9,1466,44.1,184,10.099999999999966,6770.195000339076,68378.96950342444,64650.6,1.03380187416332,8114.400000000001,0
L,298.8,308.9,1527,32.4,189,10.099999999999966,5180.988940594142,52327.98830000066,49474.799999999996,1.03380187416332,6123.599999999999,0
L,298.9,309.0,1410,65.7,191,10.100000000000023,9700.923955019922,97979.33194570143,92637.0,1.0337905654064905,12548.7,1
M,298.9,309.0,1924,22.6,193,10.100000000000023,4553.4662800150945,45990.00942815256,43482.4,1.0337905654064905,4361.8,0
L,298.9,309.1,1452,45.5,196,10.200000000000045,6918.415341735442,70567.83648570182,66066.0,1.0341251254600203,8918.0,0
L,298.9,309.1,1369,44.4,198,10.200000000000045,6365.243707291351,64925.48581437207,60783.6,1.0341251254600203,8791.199999999999,0
L,299.0,309.1,1592,35.0,200,10.100000000000023,5834.984755267443,58933.346028201304,55720.0,1.0337792642140469,7000.0,0
L,298.9,309.0,1601,32.3,202,10.100000000000023,5415.299392674381,54694.523866011376,51712.299999999996,1.0337905654064905,6524.599999999999,0
L,298.8,308.9,1379,46.7,204,10.099999999999966,6743.878925877506,68113.17715136259,64399.3,1.03380187416332,9526.800000000001,0
L,298.8,308.9,1461,47.9,206,10.099999999999966,7328.487430808517,74017.72305116577,69981.9,1.03380187416332,9867.4,0
L,298.8,308.9,1455,41.3,208,10.099999999999966,6292.767164773034,63556.94836420743,60091.49999999999,1.03380187416332,8590.4,1
L,298.8,308.9,1398,51.5,0,10.099999999999966,7539.508209350144,76149.0329144362,71997.0,1.03380187416332,0.0,0
L,298.8,308.9,1402,37.9,2,10.099999999999966,5564.367964087217,56200.1164372807,53135.799999999996,1.03380187416332,75.8,0
H,298.8,308.8,1445,49.9,4,10.0,7550.870302780628,75508.70302780627,72105.5,1.033467202141901,199.6,0
L,298.9,308.9,1450,47.5,9,10.0,7212.573133866566,72125.73133866566,68875.0,1.033456005352961,427.5,0
L,298.9,308.9,1453,40.8,11,10.0,6208.038410905718,62080.38410905718,59282.399999999994,1.033456005352961,448.79999999999995,0
L,299.0,309.0,1469,40.1,13,10.0,6168.716142858287,61687.16142858287,58906.9,1.0334448160535117,521.3000000000001,0
L,298.9,308.9,1422,47.6,15,10.0,7088.187008735435,70881.87008735434,67687.2,1.033456005352961,714.0,0
M,299.0,309.0,1804,26.8,17,10.0,5062.906944721215,50629.069447212154,48347.200000000004,1.0334448160535117,455.6,0
H,299.0,309.0,1436,43.9,20,10.0,6601.5752506454,66015.752506454,63040.4,1.0334448160535117,878.0,0
L,299.0,309.0,1544,31.8,25,10.0,5141.656200571199,51416.562005711996,49099.200000000004,1.0334448160535117,795.0,0
M,299.0,309.0,1419,45.2,27,10.0,6716.599429668834,67165.99429668834,64138.8,1.0334448160535117,1220.4,0
M,298.9,308.9,1487,39.5,30,10.0,6150.871896585896,61508.71896585896,58736.5,1.033456005352961,1185.0,0
L,298.9,308.9,1753,25.8,33,10.0,4736.2022526989,47362.02252698901,45227.4,1.033456005352961,851.4,0
L,298.9,308.9,1830,24.9,35,10.0,4771.765081537537,47717.650815375375,45567.0,1.033456005352961,871.5,0
M,298.9,308.9,1727,27.1,37,10.0,4901.062563183781,49010.625631837815,46801.700000000004,1.033456005352961,1002.7,0
L,299.1,309.0,1450,43.0,40,9.899999999999977,6529.276731710787,64639.83964393665,62350.0,1.033099297893681,1720.0,0
L,299.0,308.9,1622,31.9,42,9.899999999999977,5418.388625450412,53642.04739195896,51741.799999999996,1.0331103678929765,1339.8,0
M,299.0,309.0,1351,52.2,44,10.0,7385.067514499669,73850.6751449967,70522.2,1.0334448160535117,2296.8,0
M,299.0,309.0,1575,35.3,47,10.0,5822.156585265284,58221.56585265284,55597.49999999999,1.0334448160535117,1659.1,0
M,298.9,308.9,1750,29.9,50,10.0,5479.461186636197,54794.61186636197,52325.0,1.033456005352961,1495.0,0
L,298.9,308.8,1529,32.7,53,9.900000000000034,5235.809732399285,51834.5163507531,49998.3,1.0331214452994313,1733.1000000000001,0
L,298.8,308.8,1523,44.4,55,10.0,7081.275504897537,70812.75504897536,67621.2,1.033467202141901,2442.0,0
L,298.8,308.9,1852,25.0,57,10.099999999999966,4848.524662040248,48970.09908660634,46300.0,1.03380187416332,1425.0,0
L,298.8,308.8,1991,20.7,59,10.0,4315.888571575121,43158.88571575121,41213.7,1.033467202141901,1221.3,0
L,298.8,308.8,1555,40.6,61,10.0,6611.272299969481,66112.7229996948,63133.0,1.033467202141901,2476.6,0
M,298.8,308.8,1441,40.5,63,10.0,6111.497268660904,61114.97268660904,58360.5,1.033467202141901,2551.5,0
L,298.8,308.7,1450,43.4,66,9.899999999999977,6590.01418968019,65241.14047783373,62930.0,1.033132530120482,2864.4,0
L,298.8,308.7,1591,31.1,68,9.899999999999977,5181.543955296278,51297.285157433034,49480.100000000006,1.033132530120482,2114.8,0
L,298.8,308.7,1445,48.5,70,9.899999999999977,7339.022238173556,72656.32015791803,70082.5,1.033132530120482,3395.0,0
M,298.8,308.8,1497,46.8,72,10.0,7336.624155781315,73366.24155781315,70059.59999999999,1.033467202141901,3369.6,0
H,298.9,308.8,1621,32.7,75,9.900000000000034,5550.848643701271,54953.40157264277,53006.700000000004,1.0331214452994313,2452.5,0
L,298.9,308.7,1572,34.1,80,9.800000000000011,5613.523417140386,55012.52948797585,53605.200000000004,1.0327868852459017,2728.0,0
L,298.8,308.6,1872,22.5,82,9.800000000000011,4410.79608564007,43225.80163927273,42120.0,1.0327978580990629,1845.0,0
H,298.7,308.6,1499,43.5,84,9.900000000000034,6828.408712210095,67601.24625088017,65206.5,1.0331436223635757,3654.0,0
M,298.8,308.7,1498,39.5,89,9.899999999999977,6196.3726301853885,61344.089038835205,59171.0,1.033132530120482,3515.5,0
M,298.8,308.6,1486,41.9,92,9.800000000000011,6520.208000917424,63898.03840899083,62263.4,1.0327978580990629,3854.7999999999997,0
L,298.8,308.6,1680,29.4,95,9.800000000000011,5172.318144870235,50688.717819728365,49392.0,1.0327978580990629,2793.0,0
L,298.8,308.6,1431,45.7,97,9.800000000000011,6848.326409633854,67113.59881441185,65396.700000000004,1.0327978580990629,4432.900000000001,0
L,298.9,308.7,1564,34.1,99,9.800000000000011,5584.955867943743,54732.56750584875,53332.4,1.0327868852459017,3375.9,0
L,298.8,308.6,1599,33.0,101,9.800000000000011,5525.747318399087,54152.32372031111,52767.0,1.0327978580990629,3333.0,0
M,298.8,308.6,1707,28.1,103,9.800000000000011,5023.0610778981845,49225.99856340227,47966.700000000004,1.0327978580990629,2894.3,0
L,298.7,308.5,1467,40.7,106,9.800000000000011,6252.491946954015,61274.42108014941,59706.9,1.032808838299297,4314.200000000001,0
L,298.9,308.7,1433,44.7,108,9.800000000000011,6707.834386165318,65736.7769844202,64055.100000000006,1.0327868852459017,4827.6,0
L,298.9,308.7,1558,41.2,110,9.800000000000011,6721.919193228913,65874.80809364343,64189.600000000006,1.0327868852459017,4532.0,0
L,299.0,308.8,1310,50.7,112,9.800000000000011,6955.171975782443,68160.68536266802,66417.0,1.0327759197324415,5678.400000000001,0
L,298.9,308.7,1546,43.4,114,9.800000000000011,7026.31857741074,68857.92205862532,67096.4,1.0327868852459017,4947.599999999999,0
L,298.9,308.7,1727,29.4,116,9.800000000000011,5317.0199024945805,52106.795044446946,50773.799999999996,1.0327868852459017,3410.3999999999996,0
L,298.9,308.6,1560,32.2,118,9.700000000000045,5260.282739170751,51024.74256995652,50232.00000000001,1.0324523251923723,3799.6000000000004,0
L,299.0,308.6,1329,60.5,120,9.600000000000023,8419.939550518684,80831.41968497956,80404.5,1.0321070234113714,7260.0,0
L,298.9,308.6,1413,46.5,122,9.700000000000045,6880.559150259685,66741.42375751927,65704.5,1.0324523251923723,5673.0,0
L,299.0,308.6,1587,38.6,124,9.600000000000023,6414.943703071142,61583.459549483116,61258.200000000004,1.0321070234113714,4786.400000000001,0
L,298.9,308.5,1559,34.3,126,9.600000000000023,5599.75276934215,53757.62658568477,53473.7,1.0321177651388425,4321.799999999999,0
L,298.8,308.4,1473,41.1,128,9.599999999999966,6339.765390870739,60861.747752358875,60540.3,1.0321285140562249,5260.8,0
L,298.8,308.4,1737,27.7,130,9.599999999999966,5038.580545606918,48370.37323782624,48114.9,1.0321285140562249,3601.0,0
M,298.7,308.4,1441,43.2,132,9.699999999999989,6518.930419904965,63233.62507307808,62251.200000000004,1.0324740542350184,5702.400000000001,0
M,298.7,308.4,1430,49.6,135,9.699999999999989,7427.562791127229,72047.35907393403,70928.0,1.0324740542350184,6696.0,0
L,298.8,308.4,1369,53.0,138,9.599999999999966,7598.151272217155,72942.25221328443,72557.0,1.0321285140562249,7314.0,0
M,298.8,308.5,1711,28.5,140,9.699999999999989,5106.50177877753,49533.06725414198,48763.5,1.0324631860776439,3990.0,0
H,298.7,308.5,1420,45.7,143,9.800000000000011,6795.683788735202,66597.70112960506,64894.00000000001,1.032808838299297,6535.1,0
L,298.7,308.6,1297,55.3,148,9.900000000000034,7510.930188177988,74358.20886296235,71724.09999999999,1.0331436223635757,8184.4,0
H,298.8,308.6,1449,49.4,150,9.800000000000011,7495.902903318317,73459.8484525196,71580.59999999999,1.0327978580990629,7410.0,0
L,298.8,308.6,1268,55.8,155,9.800000000000011,7409.383441638454,72611.95772805694,70754.4,1.0327978580990629,8649.0,0
L,298.8,308.6,1511,36.1,157,9.800000000000011,5712.158954487593,55979.15775397848,54547.1,1.0327978580990629,5667.7,0
L,298.7,308.5,1544,35.2,159,9.800000000000011,5691.393027047366,55775.65166506425,54348.8,1.032808838299297,5596.8,0
M,298.6,308.4,1778,28.2,161,9.799999999999955,5250.606633797693,51455.94501121715,50139.6,1.0328198258539851,4540.2,0
H,298.6,308.4,1407,50.5,164,9.799999999999955,7440.705120394746,72918.91017986817,71053.5,1.0328198258539851,8282.0,0
M,298.6,308.4,1391,42.4,169,9.799999999999955,6176.203605349341,60526.795332423266,58978.4,1.0328198258539851,7165.599999999999,0
L,298.5,308.4,1513,33.6,172,9.899999999999977,5323.61724706712,52703.810745964365,50836.8,1.0331658291457286,5779.2,0
H,298.5,308.4,1612,36.1,174,9.899999999999977,6093.977653629385,60330.37877093077,58193.200000000004,1.0331658291457286,6281.400000000001,0
L,298.4,308.4,1515,40.1,179,10.0,6361.88220315201,63618.8220315201,60751.5,1.0335120643431635,7177.900000000001,0
M,298.3,308.3,1379,48.0,181,10.0,6931.61003088052,69316.1003088052,66192.0,1.0335232986925913,8688.0,0
L,298.4,308.3,1473,39.9,184,9.900000000000034,6154.662751721228,60931.16124204037,58772.7,1.033176943699732,7341.599999999999,0
L,298.4,308.3,1422,42.7,186,9.900000000000034,6358.52069901267,62949.35492022565,60719.4,1.033176943699732,7942.200000000001,0
M,298.4,308.2,1463,37.6,188,9.800000000000011,5760.508065426341,56452.97904117821,55008.8,1.0328418230563003,7068.8,0
M,298.4,308.2,1584,41.0,191,9.800000000000011,6800.919776491184,66649.01380961368,64944.0,1.0328418230563003,7831.0,0
L,298.4,308.2,1850,27.0,194,9.800000000000011,5230.751768227006,51261.36732862472,49950.0,1.0328418230563003,5238.0,0
L,298.4,308.2,1528,36.2,196,9.800000000000011,5792.426646786814,56765.78113851084,55313.600000000006,1.0328418230563003,7095.200000000001,0
H,298.4,308.2,1987,19.8,198,9.800000000000011,4119.9474377707265,40375.484890153166,39342.6,1.0328418230563003,3920.4,0
M,298.4,308.1,1495,46.0,203,9.700000000000045,7201.577559579003,69855.30232791665,68770.0,1.0325067024128687,9338.0,0
H,298.4,308.2,1478,43.5,206,9.800000000000011,6732.747215908285,65980.92271590127,64293.0,1.0328418230563003,8961.0,0
M,298.4,308.2,1499,40.0,211,9.800000000000011,6278.9965169748,61534.16586635311,59960.0,1.0328418230563003,8440.0,0
L,298.4,308.2,1471,47.0,214,9.800000000000011,7240.009709707917,70952.09515513766,69137.0,1.0328418230563003,10058.0,0
L,298.4,308.2,1282,60.7,216,9.800000000000011,8149.019072048613,79860.3869060765,77817.40000000001,1.0328418230563003,13111.2,1
L,298.3,308.1,1412,52.3,218,9.800000000000011,7733.302588174586,75786.36536411103,73847.59999999999,1.0328528327187396,11401.4,1
L,298.3,308.1,1586,35.5,0,9.800000000000011,5896.036372502204,57781.15645052167,56303.0,1.0328528327187396,0.0,0
M,298.4,308.2,1468,43.8,2,9.800000000000011,6733.312702585931,65986.4644853422,64298.399999999994,1.0328418230563003,87.6,0
M,298.5,308.3,1440,43.6,5,9.800000000000011,6574.725105432719,64432.30603324072,62784.0,1.0328308207705192,218.0,0
L,298.5,308.4,1733,26.0,8,9.899999999999977,4718.46272618163,46712.780989198036,45058.0,1.0331658291457286,208.0,0
H,298.4,308.2,1612,32.6,10,9.800000000000011,5503.148795244265,53930.858193393855,52551.200000000004,1.0328418230563003,326.0,0
H,298.4,308.3,1458,42.9,15,9.900000000000034,6550.032187175503,64845.318653037706,62548.2,1.033176943699732,643.5,0
L,298.4,308.3,1433,62.3,20,9.900000000000034,9348.950386087234,92554.60882226394,89275.9,1.033176943699732,1246.0,1
L,298.4,308.3,1318,59.1,22,9.900000000000034,8157.019661339755,80754.49464726385,77893.8,1.033176943699732,1300.2,0
M,298.4,308.2,1610,35.0,24,9.800000000000011,5900.958200992828,57829.39036972978,56350.0,1.0328418230563003,840.0,0
L,298.2,308.1,1462,50.8,27,9.900000000000034,7777.494324835082,76997.19381586758,74269.59999999999,1.0331991951710262,1371.6,0
M,298.1,308.0,1924,20.8,29,9.899999999999977,4190.800824084688,41488.92815843832,40019.200000000004,1.033210332103321,603.2,0
M,298.2,308.0,1591,33.7,32,9.800000000000011,5614.727694324262,55024.33140437784,53616.700000000004,1.0328638497652582,1078.4,0
L,298.2,308.1,1306,58.3,35,9.900000000000034,7973.341210859871,78936.077987513,76139.8,1.0331991951710262,2040.5,0
L,298.2,308.1,1382,43.5,37,9.900000000000034,6295.437518528586,62324.83143343322,60117.0,1.0331991951710262,1609.5,0
L,298.2,308.1,1618,34.7,39,9.900000000000034,5879.4487632912505,58206.54275658358,56144.600000000006,1.0331991951710262,1353.3000000000002,0
L,298.2,308.2,1988,21.4,41,10.0,4455.1134860067095,44551.1348600671,42543.2,1.0335345405767942,877.4,0
L,298.2,308.2,1436,50.2,43,10.0,7548.953931261937,75489.53931261937,72087.2,1.0335345405767942,2158.6,0
L,298.2,308.3,1304,49.8,45,10.100000000000023,6800.41712166661,68684.21292883292,64939.2,1.0338698859825621,2241.0,0
L,298.2,308.3,1475,49.9,47,10.100000000000023,7707.635776194758,77847.12133956724,73602.5,1.0338698859825621,2345.2999999999997,0
H,298.2,308.3,1824,24.2,49,10.100000000000023,4622.413766785878,46686.37904453747,44140.799999999996,1.0338698859825621,1185.8,0
M,298.1,308.2,1342,48.1,54,10.099999999999966,6759.681136925063,68272.7794829429,64550.200000000004,1.033881247903388,2597.4,0
L,298.1,308.2,1485,40.7,57,10.099999999999966,6329.209639554678,63925.01735950203,60439.50000000001,1.033881247903388,2319.9,0
L,298.2,308.2,1667,30.6,59,10.0,5341.77565260487,53417.756526048695,51010.200000000004,1.0335345405767942,1805.4,0
L,298.2,308.2,1446,38.2,61,10.0,5784.426057495672,57844.260574956716,55237.200000000004,1.0335345405767942,2330.2000000000003,0
L,298.1,308.3,1301,56.0,63,10.199999999999989,7629.462478997932,77820.51728577881,72856.0,1.0342167058034217,3528.0,0
L,298.2,308.4,1379,43.1,65,10.199999999999989,6224.008173561467,63484.88337032689,59434.9,1.0342052313883299,2801.5,0
L,298.3,308.5,1606,33.6,67,10.199999999999989,5650.845537865033,57638.62448622328,53961.600000000006,1.0341937646664432,2251.2000000000003,0
M,298.3,308.4,1539,43.4,69,10.099999999999966,6994.504715805387,70644.49762963416,66792.59999999999,1.0338585316795172,2994.6,0
L,298.2,308.4,1477,49.9,72,10.199999999999989,7718.086807755701,78724.48543910806,73702.3,1.0342052313883299,3592.7999999999997,0
L,298.2,308.4,1666,34.6,74,10.199999999999989,6036.423676215621,61571.52149739926,57643.600000000006,1.0342052313883299,2560.4,0
H,298.2,308.4,1398,51.8,76,10.199999999999989,7583.42767464733,77350.96228140268,72416.4,1.0342052313883299,3936.7999999999997,0
H,298.2,308.4,1678,34.6,81,10.199999999999989,6079.903318541303,62015.01384912122,58058.8,1.0342052313883299,2802.6,0
M,298.2,308.5,2678,10.7,86,10.300000000000011,3000.702695051803,30907.237759033604,28654.6,1.034540576794098,920.1999999999999,1
L,298.3,308.5,1453,42.9,89,10.199999999999989,6527.569799702336,66581.21195696376,62333.7,1.0341937646664432,3818.1,0
H,298.3,308.6,1432,49.5,91,10.300000000000011,7422.955121901963,76456.4377555903,70884.0,1.0345289976533691,4504.5,0
M,298.4,308.6,1527,40.9,96,10.200000000000045,6540.199002169767,66710.02982213191,62454.299999999996,1.034182305630027,3926.3999999999996,0
L,298.4,308.7,1588,35.0,99,10.300000000000011,5820.3239895506895,59949.33709237217,55580.0,1.0345174262734584,3465.0,0
L,298.4,308.6,1433,47.1,101,10.200000000000045,7067.986567972853,72093.46299332342,67494.3,1.034182305630027,4757.1,0
L,298.4,308.6,1609,35.0,103,10.200000000000045,5897.29300956364,60152.388697549395,56315.0,1.034182305630027,3605.0,0
L,298.3,308.5,1575,41.2,105,10.199999999999989,6795.264909714723,69311.7020790901,64890.00000000001,1.0341937646664432,4326.0,0
M,298.4,308.5,1636,35.7,107,10.100000000000023,6116.178241714753,61773.40024131915,58405.200000000004,1.0338471849865953,3819.9,0
L,298.4,308.5,1490,37.9,110,10.100000000000023,5913.6292913623065,59727.65584275943,56471.0,1.0338471849865953,4169.0,0
L,298.4,308.5,1741,32.8,112,10.100000000000023,5980.000672157146,60398.006788787316,57104.799999999996,1.0338471849865953,3673.5999999999995,0
M,298.5,308.6,1344,53.0,114,10.100000000000023,7459.397596683604,75339.91572650457,71232.0,1.0338358458961474,6042.0,0
L,298.5,308.7,1609,35.3,117,10.199999999999989,5947.8412353599,60667.98060067091,56797.7,1.0341708542713568,4130.099999999999,0
M,298.4,308.7,1421,60.7,119,10.300000000000011,9032.571061919716,93035.48193777318,86254.7,1.0345174262734584,7223.3,1
L,298.4,308.6,1591,36.7,122,10.200000000000045,6114.555085510398,62368.46187220634,58389.700000000004,1.034182305630027,4477.400000000001,0
L,298.4,308.6,1477,44.0,124,10.200000000000045,6805.527445716449,69416.37994630808,64988.0,1.034182305630027,5456.0,0
L,298.4,308.7,1523,36.1,126,10.300000000000011,5757.523552405431,59302.492589776,54980.3,1.0345174262734584,4548.6,0
L,298.5,308.7,1575,33.9,128,10.199999999999989,5591.249525226434,57030.74515730957,53392.5,1.0341708542713568,4339.2,0
H,298.4,308.7,1344,52.9,130,10.300000000000011,7445.323261595521,76686.82959443395,71097.59999999999,1.0345174262734584,6877.0,0
